x;sin;cos;ctg;csc;sec;trig_f;ln;log2;log10;logarithm;main
2,3;0,745936017;-0,666017612;-0,892861581;1,340597555;-1,501461797;0,4550581;0,832908144;1,201632635;0,361729752;4,51196983;4,51196983
2,4;0,675830696;-0,737056897;-1,090593993;1,479660521;-1,35674736;0,551460142;0,875468477;1,263034225;0,380213589;5,219281885;5,219281885
2,5;0,599046199;-0,800714463;-1,336648933;1,669320332;-1,248884648;0,754476155;0,916290251;1,321927604;0,397942374;5,960607237;5,960607237
2,6;0,516382277;-0,856358187;-1,658380283;1,936549809;-1,167735669;1,166813942;0,955510602;1,37851062;0,414975667;6,732733762;6,732733762
2,7;0,427317;-0,904101865;-2,115763858;2,340183049;-1,106070056;2,062329169;0,993250365;1,432957597;0,431365944;7,532677507;7,532677507
2,8;0,334887521;-0,942258111;-2,813655489;2,986077228;-1,061280331;4,177196581;1,029617161;1,485423801;0,447159945;8,357685991;8,357685991
2,9;0,239090953;-0,970997176;-4,061204172;4,182508736;-1,029869112;10,3138065;1,064710004;1,536052079;0,462400671;9,205293825;9,205293825
3;0,140874594;-0,990027448;-7,027721744;7,098512021;-1,010073005;37,31358377;1,098611131;1,584961075;0,477123839;10,07307257;10,07307257
3,1;0,041205868;-0,999150678;-24,24777668;24,26838837;-1,000850044;541,4574227;1,131400343;1,632265916;0,491364105;10,95892829;10,95892829
3,2;-0,058938783;-0,998261599;16,93726175;-16,96675678;-1,001741428;322,7418852;1,163148183;1,678068375;0,505152106;11,8609003;11,8609003
3,3;-0,158585531;-0,987345243;6,225947814;-6,30574549;-1,012816952;53,18917244;1,193921492;1,722464881;0,518516871;12,77727559;12,77727559
3,4;-0,255472323;-0,966816369;3,78442705;-3,914318344;-1,034322578;23,82547609;1,223773995;1,765532946;0,531481732;13,70627052;13,70627052
3,5;-0,350677249;-0,936496379;2,670536461;-2,851624974;-1,067809788;14,34986338;1,252760904;1,807352222;0,544070668;14,64643076;14,64643076
3,6;-0,442359144;-0,896837994;2,02739789;-2,260606601;-1,115028585;9,969456374;1,28093094;1,847993;0,556304839;15,59636914;15,59636914
3,7;-0,529593486;-0,848251578;1,601703196;-1,888240749;-1,178895537;7,488390258;1,308328811;1,887519778;0,568203659;16,55481269;16,55481269
3,8;-0,61149685;-0,791246866;1,293950845;-1,6353314;-1,263828071;5,88828208;1,334999387;1,925997292;0,579786618;17,52073109;17,52073109
3,9;-0,687234564;-0,726435582;1,057041685;-1,455107255;-1,376584553;4,759129149;1,360974246;1,963471098;0,591067429;18,49282421;18,49282421
4;-0,756027512;-0,65453984;0,865761933;-1,322703188;-1,527790884;3,909489992;1,386291244;1,99999581;0,602062533;19,47020843;19,47020843
4,1;-0,818347133;-0,574724255;0,702298855;-1,22197532;-1,739964846;3,228129362;1,410982825;2,035618238;0,61278602;20,45198019;20,45198019
4,2;-0,871681;-0,490073704;0,562216802;-1,14720867;-2,040509402;2,68069357;1,435082635;2,07038692;0,623252502;21,43745655;21,43745655
4,3;-0,916322543;-0,400441003;0,437008787;-1,09131878;-2,497246767;2,22534725;1,458612516;2,104333367;0,633471466;22,42562555;22,42562555
